  Frequency            , dB( V(Vs5)/ V(Ve))   , dB( V(Vs3)/ V(Ve))   
  1.832314422371e+00  ,-6.784417322039e+01  ,-3.484737390435e+01  
  1.836538343348e+00  ,-6.774077326679e+01  ,-3.477840992958e+01  
  1.840772001469e+00  ,-6.763742849644e+01  ,-3.470948277268e+01  
  1.845015419179e+00  ,-6.753413902162e+01  ,-3.464059250942e+01  
  1.849268618978e+00  ,-6.743090495388e+01  ,-3.457173921532e+01  
  1.853531623415e+00  ,-6.732772640454e+01  ,-3.450292296571e+01  
  1.857804455092e+00  ,-6.722460348504e+01  ,-3.443414383592e+01  
  1.862087136663e+00  ,-6.712153630617e+01  ,-3.436540190093e+01  
  1.866379690835e+00  ,-6.701852497883e+01  ,-3.429669723586e+01  
  1.870682140366e+00  ,-6.691556961330e+01  ,-3.422802991522e+01  
  1.874994508067e+00  ,-6.681267031980e+01  ,-3.415940001366e+01  
  1.879316816803e+00  ,-6.670982720833e+01  ,-3.409080760583e+01  
  1.883649089490e+00  ,-6.660704038813e+01  ,-3.402225276551e+01  
  1.887991349096e+00  ,-6.650430996906e+01  ,-3.395373556702e+01  
  1.892343618645e+00  ,-6.640163605973e+01  ,-3.388525608421e+01  
  1.896705921211e+00  ,-6.629901876928e+01  ,-3.381681439078e+01  
  1.901078279923e+00  ,-6.619645820585e+01  ,-3.374841056008e+01  
  1.905460717963e+00  ,-6.609395447781e+01  ,-3.368004466552e+01  
  1.909853258566e+00  ,-6.599150769324e+01  ,-3.361171678034e+01  
  1.914255925021e+00  ,-6.588911795942e+01  ,-3.354342697739e+01  
  1.918668740670e+00  ,-6.578678538365e+01  ,-3.347517532932e+01  
  1.923091728910e+00  ,-6.568451007312e+01  ,-3.340696190878e+01  
  1.927524913191e+00  ,-6.558229213449e+01  ,-3.333878678806e+01  
  1.931968317017e+00  ,-6.548013167407e+01  ,-3.327065003958e+01  
  1.936421963947e+00  ,-6.537802879795e+01  ,-3.320255173495e+01  
  1.940885877593e+00  ,-6.527598361179e+01  ,-3.313449194605e+01  
  1.945360081623e+00  ,-6.517399622102e+01  ,-3.306647074441e+01  
  1.949844599758e+00  ,-6.507206673067e+01  ,-3.299848820126e+01  
  1.954339455775e+00  ,-6.497019524569e+01  ,-3.293054438794e+01  
  1.958844673506e+00  ,-6.486838187035e+01  ,-3.286263937520e+01  
  1.963360276836e+00  ,-6.476662670904e+01  ,-3.279477323398e+01  
  1.967886289707e+00  ,-6.466492986494e+01  ,-3.272694603432e+01  
  1.972422736115e+00  ,-6.456329144191e+01  ,-3.265915784678e+01  
  1.976969640112e+00  ,-6.446171154277e+01  ,-3.259140874126e+01  
  1.981527025805e+00  ,-6.436019027043e+01  ,-3.252369878774e+01  
  1.986094917357e+00  ,-6.425872772700e+01  ,-3.245602805550e+01  
  1.990673338987e+00  ,-6.415732401466e+01  ,-3.238839661423e+01  
  1.995262314969e+00  ,-6.405597923513e+01  ,-3.232080453297e+01  
  1.999861869633e+00  ,-6.395469348942e+01  ,-3.225325188037e+01  
  2.004472027365e+00  ,-6.385346687859e+01  ,-3.218573872536e+01  
  2.009092812609e+00  ,-6.375229950327e+01  ,-3.211826513619e+01  
  2.013724249862e+00  ,-6.365119146345e+01  ,-3.205083118113e+01  
  2.018366363682e+00  ,-6.355014285907e+01  ,-3.198343692818e+01  
  2.023019178678e+00  ,-6.344915378931e+01  ,-3.191608244477e+01  
  2.027682719521e+00  ,-6.334822435355e+01  ,-3.184876779861e+01  
  2.032357010936e+00  ,-6.324735465000e+01  ,-3.178149305667e+01  
  2.037042077706e+00  ,-6.314654477703e+01  ,-3.171425828599e+01  
  2.041737944669e+00  ,-6.304579483269e+01  ,-3.164706355329e+01  
  2.046444636725e+00  ,-6.294510491432e+01  ,-3.157990892495e+01  
  2.051162178826e+00  ,-6.284447511896e+01  ,-3.151279446723e+01  
  2.055890595984e+00  ,-6.274390554332e+01  ,-3.144572024595e+01  
  2.060629913270e+00  ,-6.264339628343e+01  ,-3.137868632672e+01  
  2.065380155810e+00  ,-6.254294743541e+01  ,-3.131169277503e+01  
  2.070141348791e+00  ,-6.244255909441e+01  ,-3.124473965594e+01  
  2.074913517455e+00  ,-6.234223135560e+01  ,-3.117782703428e+01  
  2.079696687104e+00  ,-6.224196431348e+01  ,-3.111095497481e+01  
  2.084490883097e+00  ,-6.214175806231e+01  ,-3.104412354157e+01  
  2.089296130854e+00  ,-6.204161269570e+01  ,-3.097733279868e+01  
  2.094112455851e+00  ,-6.194152830689e+01  ,-3.091058281001e+01  
  2.098939883623e+00  ,-6.184150498880e+01  ,-3.084387363887e+01  
  2.103778439766e+00  ,-6.174154283403e+01  ,-3.077720534862e+01  
  2.108628149933e+00  ,-6.164164193419e+01  ,-3.071057800195e+01  
  2.113489039837e+00  ,-6.154180238124e+01  ,-3.064399166170e+01  
  2.118361135248e+00  ,-6.144202426593e+01  ,-3.057744639007e+01  
  2.123244462000e+00  ,-6.134230767899e+01  ,-3.051094224898e+01  
  2.128139045983e+00  ,-6.124265271079e+01  ,-3.044447930050e+01  
  2.133044913147e+00  ,-6.114305945086e+01  ,-3.037805760582e+01  
  2.137962089502e+00  ,-6.104352798860e+01  ,-3.031167722624e+01  
  2.142890601120e+00  ,-6.094405841251e+01  ,-3.024533822250e+01  
  2.147830474130e+00  ,-6.084465081132e+01  ,-3.017904065514e+01  
  2.152781734724e+00  ,-6.074530527249e+01  ,-3.011278458450e+01  
  2.157744409153e+00  ,-6.064602188391e+01  ,-3.004657007055e+01  
  2.162718523727e+00  ,-6.054680073209e+01  ,-2.998039717281e+01  
  2.167704104820e+00  ,-6.044764190360e+01  ,-2.991426595066e+01  
  2.172701178864e+00  ,-6.034854548453e+01  ,-2.984817646324e+01  
  2.177709772353e+00  ,-6.024951156023e+01  ,-2.978212876904e+01  
  2.182729911843e+00  ,-6.015054021552e+01  ,-2.971612292646e+01  
  2.187761623950e+00  ,-6.005163153496e+01  ,-2.965015899354e+01  
  2.192804935350e+00  ,-5.995278560313e+01  ,-2.958423702848e+01  
  2.197859872785e+00  ,-5.985400250261e+01  ,-2.951835708802e+01  
  2.202926463053e+00  ,-5.975528231696e+01  ,-2.945251922980e+01  
  2.208004733019e+00  ,-5.965662512852e+01  ,-2.938672351034e+01  
  2.213094709606e+00  ,-5.955803101916e+01  ,-2.932096998601e+01  
  2.218196419800e+00  ,-5.945950007068e+01  ,-2.925525871314e+01  
  2.223309890651e+00  ,-5.936103236374e+01  ,-2.918958974741e+01  
  2.228435149270e+00  ,-5.926262797888e+01  ,-2.912396314425e+01  
  2.233572222830e+00  ,-5.916428699605e+01  ,-2.905837895884e+01  
  2.238721138568e+00  ,-5.906600949459e+01  ,-2.899283724579e+01  
  2.243881923783e+00  ,-5.896779555332e+01  ,-2.892733805973e+01  
  2.249054605836e+00  ,-5.886964525066e+01  ,-2.886188145465e+01  
  2.254239212152e+00  ,-5.877155866454e+01  ,-2.879646748433e+01  
  2.259435770221e+00  ,-5.867353587212e+01  ,-2.873109620212e+01  
  2.264644307593e+00  ,-5.857557694998e+01  ,-2.866576766098e+01  
  2.269864851884e+00  ,-5.847768197463e+01  ,-2.860048191381e+01  
  2.275097430772e+00  ,-5.837985102158e+01  ,-2.853523901299e+01  
  2.280342072000e+00  ,-5.828208416591e+01  ,-2.847003901029e+01  
  2.285598803375e+00  ,-5.818438148210e+01  ,-2.840488195750e+01  
