  Frequency            , V(Ve)/ I(C1)         
  3.443499307633e+00  ,7.009037237098e+04  
  3.451437393358e+00  ,7.001982662739e+04  
  3.459393778261e+00  ,6.994952983353e+04  
  3.467368504525e+00  ,6.987948124750e+04  
  3.475361614432e+00  ,6.980968013034e+04  
  3.483373150360e+00  ,6.974012574113e+04  
  3.491403154786e+00  ,6.967081734417e+04  
  3.499451670283e+00  ,6.960175420085e+04  
  3.507518739526e+00  ,6.953293557693e+04  
  3.515604405283e+00  ,6.946436073796e+04  
  3.523708710425e+00  ,6.939602895023e+04  
  3.531831697919e+00  ,6.932793948298e+04  
  3.539973410834e+00  ,6.926009160305e+04  
  3.548133892336e+00  ,6.919248458340e+04  
  3.556313185690e+00  ,6.912511769410e+04  
  3.564511334262e+00  ,6.905799020685e+04  
  3.572728381519e+00  ,6.899110139635e+04  
  3.580964371026e+00  ,6.892445053801e+04  
  3.589219346450e+00  ,6.885803690707e+04  
  3.597493351557e+00  ,6.879185978039e+04  
  3.605786430216e+00  ,6.872591843738e+04  
  3.614098626396e+00  ,6.866021215682e+04  
  3.622429984167e+00  ,6.859474021912e+04  
  3.630780547701e+00  ,6.852950190723e+04  
  3.639150361272e+00  ,6.846449650302e+04  
  3.647539469256e+00  ,6.839972329090e+04  
  3.655947916131e+00  ,6.833518155694e+04  
  3.664375746478e+00  ,6.827087058654e+04  
  3.672823004981e+00  ,6.820678966768e+04  
  3.681289736425e+00  ,6.814293808952e+04  
  3.689775985701e+00  ,6.807931514195e+04  
  3.698281797803e+00  ,6.801592011513e+04  
  3.706807217826e+00  ,6.795275230179e+04  
  3.715352290972e+00  ,6.788981099631e+04  
  3.723917062546e+00  ,6.782709549380e+04  
  3.732501577957e+00  ,6.776460508734e+04  
  3.741105882720e+00  ,6.770233907534e+04  
  3.749730022455e+00  ,6.764029675650e+04  
  3.758374042884e+00  ,6.757847742931e+04  
  3.767037989839e+00  ,6.751688039440e+04  
