  Frequency            , dB( V(Vs4)/ V(Ve))   
  2.870780582025e+00  ,-4.545399281671e+01  
  2.877398414736e+00  ,-4.537329275675e+01  
  2.884031503127e+00  ,-4.529263864705e+01  
  2.890679882365e+00  ,-4.521203049527e+01  
  2.897343587701e+00  ,-4.513146830833e+01  
  2.904022654464e+00  ,-4.505095209327e+01  
  2.910717118067e+00  ,-4.497048185617e+01  
  2.917427014001e+00  ,-4.489005760296e+01  
  2.924152377843e+00  ,-4.480967933866e+01  
  2.930893245250e+00  ,-4.472934706848e+01  
  2.937649651961e+00  ,-4.464906079667e+01  
  2.944421633799e+00  ,-4.456882052714e+01  
  2.951209226666e+00  ,-4.448862626309e+01  
  2.958012466551e+00  ,-4.440847800780e+01  
  2.964831389524e+00  ,-4.432837576368e+01  
  2.971666031738e+00  ,-4.424831953267e+01  
  2.978516429429e+00  ,-4.416830931645e+01  
  2.985382618918e+00  ,-4.408834511618e+01  
  2.992264636608e+00  ,-4.400842693236e+01  
  2.999162518988e+00  ,-4.392855476504e+01  
  3.006076302628e+00  ,-4.384872861408e+01  
  3.013006024186e+00  ,-4.376894847886e+01  
  3.019951720402e+00  ,-4.368921435802e+01  
  3.026913428101e+00  ,-4.360952624974e+01  
  3.033891184194e+00  ,-4.352988415181e+01  
  3.040885025676e+00  ,-4.345028806195e+01  
  3.047894989628e+00  ,-4.337073797661e+01  
  3.054921113215e+00  ,-4.329123389237e+01  
  3.061963433691e+00  ,-4.321177580535e+01  
  3.069021988391e+00  ,-4.313236371096e+01  
  3.076096814741e+00  ,-4.305299760422e+01  
  3.083187950249e+00  ,-4.297367747967e+01  
  3.090295432514e+00  ,-4.289440333158e+01  
  3.097419299217e+00  ,-4.281517515340e+01  
  3.104559588128e+00  ,-4.273599293852e+01  
  3.111716337106e+00  ,-4.265685667945e+01  
  3.118889584094e+00  ,-4.257776636861e+01  
  3.126079367124e+00  ,-4.249872199773e+01  
  3.133285724316e+00  ,-4.241972355821e+01  
  3.140508693876e+00  ,-4.234077104096e+01  
  3.147748314101e+00  ,-4.226186443633e+01  
  3.155004623375e+00  ,-4.218300373429e+01  
  3.162277660168e+00  ,-4.210418892457e+01  
  3.169567463043e+00  ,-4.202541999596e+01  
  3.176874070650e+00  ,-4.194669693711e+01  
  3.184197521726e+00  ,-4.186801973637e+01  
  3.191537855101e+00  ,-4.178938838134e+01  
  3.198895109691e+00  ,-4.171080285915e+01  
  3.206269324505e+00  ,-4.163226315667e+01  
  3.213660538640e+00  ,-4.155376926049e+01  
  3.221068791283e+00  ,-4.147532115597e+01  
  3.228494121713e+00  ,-4.139691882894e+01  
  3.235936569296e+00  ,-4.131856226438e+01  
  3.243396173493e+00  ,-4.124025144682e+01  
  3.250872973854e+00  ,-4.116198636043e+01  
  3.258367010020e+00  ,-4.108376698857e+01  
  3.265878321723e+00  ,-4.100559331481e+01  
  3.273406948788e+00  ,-4.092746532173e+01  
  3.280952931131e+00  ,-4.084938299176e+01  
  3.288516308760e+00  ,-4.077134630662e+01  
  3.296097121774e+00  ,-4.069335524790e+01  
  3.303695410368e+00  ,-4.061540979672e+01  
  3.311311214826e+00  ,-4.053750993342e+01  
  3.318944575526e+00  ,-4.045965563821e+01  
  3.326595532940e+00  ,-4.038184689088e+01  
  3.334264127632e+00  ,-4.030408367071e+01  
  3.341950400261e+00  ,-4.022636595655e+01  
  3.349654391578e+00  ,-4.014869372664e+01  
